pull_id,pull_no,total_commits
501114228,11227,4
501110866,11226,1
501110657,11225,1
501098103,11224,2
500556320,11223,1
500553730,11222,1
500134034,11221,25
500122417,11220,13
500061819,11219,1
499947178,11218,1
499923214,11217,2
499874654,11216,1
499807004,11215,2
499773914,11214,1
499690345,11213,1
499334263,11212,1
499244549,11211,1
499002107,11210,4
498751727,11209,1
498588456,11207,1
498576566,11206,2
498468149,11205,3
498434995,11204,2
498391480,11203,4
498375732,11202,1
498036617,11201,1
498021895,11200,1
497950486,11199,19
497888526,11198,1
497760737,11197,1
497746269,11196,2
497714373,11195,1
497702847,11194,1
497693667,11193,1
497417949,11192,1
497415516,11191,3
497389741,11190,1
496295432,11189,1
495389120,11188,1
495367643,11187,5
495358285,11186,1
495355425,11185,19
494838222,11184,1
494836912,11183,1
494784919,11182,2
494780661,11181,2
494327568,11180,1
494325572,11179,10
494031300,11178,23
494023002,11177,1
493360882,11176,1
493355366,11175,1
492918021,11174,1
492422501,11173,1
492407636,11172,1
492349365,11171,2
492338974,11170,1
492333048,11169,1
492296058,11168,1
492263292,11167,6
491758618,11166,2
491653223,11165,5
491612005,11164,1
490997161,11163,2
490958130,11162,2
490942821,11161,1
490878670,11160,1
490816842,11159,11
490810470,11158,14
490769980,11157,8
490765287,11156,5
490761406,11155,2
490738800,11154,1
490705104,11153,1
490700258,11152,1
490300644,11151,5
490204032,11150,2
489911414,11149,2
489903146,11148,1
489899302,11147,1
489896879,11146,1
489892925,11145,6
489889435,11144,1
489884913,11143,1
489883521,11142,1
489882240,11141,1
489868198,11140,1
489819668,11139,1
489776101,11138,1
489752633,11137,1
489751607,11136,1
489750936,11135,1
489749886,11134,1
489746439,11133,2
489719366,11132,1
489711685,11131,1
489710286,11130,1
489707638,11129,1
489692593,11128,1
489533288,11127,1
489268341,11126,22
489255457,11125,1
489223848,11124,18
488821127,11123,1
488471262,11122,2
488056188,11121,2
487967126,11120,1
487924323,11119,1
487914015,11118,1
487820237,11117,1
487771056,11116,1
487247452,11115,2
487112653,11114,2
487091662,11113,5
486594710,11111,1
486502657,11110,1
486499427,11109,1
486449642,11107,2
486216365,11106,1
486213943,11105,1
486195035,11104,1
486185731,11103,1
486178305,11102,1
486169395,11101,1
486134801,11100,2
484884576,11099,35
483877574,11098,15
482905658,11097,1
482787905,11096,2
482616410,11095,1
482579260,11094,4
482112695,11093,6
482045190,11092,1
482015005,11091,1
482000847,11090,1
481947386,11089,1
481941371,11088,1
480827596,11087,2
480763085,11086,4
480732854,11085,3
480709976,11084,5
480696816,11083,2
480693608,11082,2
480075097,11081,2
479583270,11080,1
478773092,11079,1
478610854,11078,2
478604365,11077,1
478412592,11076,27
478365791,11075,1
477965194,11074,3
477853171,11073,3
477670355,11072,1
477051887,11071,1
476860853,11070,1
476854702,11069,2
476384397,11068,8
476314404,11067,3
476280938,11066,1
476203559,11065,1
475358145,11063,1
475243445,11061,1
474726852,11059,2
474683898,11058,7
474670863,11057,5
474662788,11056,1
474653164,11055,1
474551499,11054,12
474546522,11053,4
473872712,11052,1
473871822,11051,1
473869854,11050,3
473786539,11049,2
473706695,11048,5
473256313,11047,2
473180351,11046,1
473157210,11045,2
473110915,11044,2
473107807,11043,2
473046625,11042,1
473009699,11041,2
473005593,11040,64
472636882,11039,1
472481906,11038,6
472446510,11037,19
472324145,11036,1
472091790,11035,1
470980739,11034,2
470925787,11033,1
470925117,11032,106
470727546,11031,2
470713844,11030,1
470220779,11029,1
470159702,11028,1
470143253,11027,3
470098405,11026,1
