pull_id,pull_no,title,body
404343104,8593,b'RavenDB-12590 Failed to execute cluster transactions due to an argume\xe2\x80\xa6',"b'\xe2\x80\xa6ntException: An item with the same key has already been added.\r\n\r\nThis could happened when we already executed the command, but failed on a later merged transaction command so we had to run it again independently.'"
404340835,8592,b'RavenDB-12778 port to v4.1',b''
404328870,8591,b'RavenDB-12778 fix',"b'Make sure to separate ""color in console"" and ""use named pipes"" flags in RavenCli. This makes the cli not to use ""named pipes"" mode when running in interactive mode, regardless if the ""parent process id"" is passed or not (RavenDB-12778)'"
404327149,8590,b'RavenDB-12758 Apply database configuration for replication tests',b''
404297460,8589,b'RavenDB-12772 Indexes list is broken',b''
404273158,8588,b'RavenDB-12405 RavenDB logo jumps when loading',b''
404180007,8587,"b""RavenDB-12749 Link 'voting in progress' to cluster page""",b''
404177705,8586,"b""RavenDB-12769 Document List View - Don't show null in the Collection \xe2\x80\xa6""",b'\xe2\x80\xa6column when document belongs to @empty'
404176052,8585,b'RavenDB-12763 setupShell.ts:90 ReferenceError: Unable to process bind\xe2\x80\xa6',b'\xe2\x80\xa6ing when using --ServerUrl=http://127.0.0.1:8082'
404172579,8584,b'Raven db 12680',b''
403997141,8583,b'RavenDB-12724 will throw on license activation errors in tests and no\xe2\x80\xa6',b'\xe2\x80\xa6t mask the error'
403918876,8582,b'RavenDB-12724 will throw on license activation errors in tests and no\xe2\x80\xa6',b'\xe2\x80\xa6t mask the error'
403897372,8581,b'RavenDB-12771 fixing resolved document and revisions behaviour',"b""- modifing a resovled document should keep the HasRevisions flags\r\n- A revision that has the 'Conflicted' flag shouldn't overwrite the document\r\n- fix various database change vector merging\r\n- adding counter to a resovled document should not generate a revision"""
403874745,8580,b'RavenDB-12724 Exposing the reason a test failed due to licensing failure',"b""I couldn't reproduce the failure, this could happen due to a few reasons from cluster timing issues to our licensing server not responding when the license expires.\r\nWhat I did is expose the reason the license failed to load explicitly so the test will fail with the real reason.\r\nI could easily ignore the test failure when this happens but I think it would be better to live this so we could know why we fail to activate the license."""
403828065,8579,b'RavenDB-12545 after PR merge',b''
