group,elements
0,154,fa7e6172d5f08ccdd302a5d56935c2bc836b2f5e,979aee4b8f3b05c9d6c2f6cb1301db0344aff47c,2ecc8da95c4e4ffa92f3b82eb9e0c9a191ea232b
11,463,68cd7998eadf6c24a3ca0abb2a2288e22b5f6ef3
12,470,03ad404b901e50cfb41f342824038a9c8064ad8e,d28b6d7edfe3d5be61bcb1f2ee1eb99131250ca8,fd20917a6149c5f04a4844ec84146e2775fd7a3d,d5c9f4bc250e8d142d3c80c72d0ed06e29965af9,d19ba0ee6b5b34ae4fb9b7951a163c993a738798,13475b0243ecf88e1f64044813a25cc1c5f2aa34,5ae417a6339b3e6dfd7b530ceed4b41b0cec6500,60bdd42a74903eb4f7488e59e04a316b16ffaf85,df0db8666b18d9942fd5a77d1eab62e9f4416fce,ee326f72506b7031307a9d6b6c2cc54db2f74763,307923d92463ed66e83b50e57cae0fa9f6cb7827,17e693c8d0712d405a31b148b9013f43adbafa58
13,477,02d20bd528ff565695cab2af7e3616734c6b11c8,1bfaf17e462f55ec785bd2eef2b6eccb7e922684
14,476,ed186acded76034527ef5785232140604f08bd11,5e2c8c9b776f7a00e7bf4924202849808aa27bc2,b68792d72bbf530c0ab16538c63fbbb624b4b44b
15,482,44972d4159113ac2ac6c0290021b6d1f2f1029d0
16,484,ea4851d12f0aaf97107c4ad8b01a2f1c655e6af6
17,491,811f19c30d9f332e2c65e7cd638040e7d2ac05ff,4d2eda1735a603050316184412448aa8cd80723a,bfdf934b5a11c9cf0192b48b2486579a84bff052
18,493,7917ac930a2e7ba154302baff6ce81919c27ac3f
19,494,d2d3956fd31f64882e595ae7907589059acd7112
20,495,bf5e707742a20ff916ecb95bd2088b4333f741bf
21,497,48a83e63bd5d9736f6f4b66e6f10a8fedca978cd
22,498,ef1a4559862678de2c1fa8ae3211c1f88fa347a1,6847ea749217449381911f99e2fe6b920de420ba,c1e475544e41e6b2f35a2ff026cb3a9cf569cb76,69280aa8d0de74ddeace3e1575cd9bf6aad3564f,f7b7d588c327bb2cf395f7142b4c74f8e6825e49,02b73d010fcf17e05659f0cf1ffd8dbd1b8ac50f,5f4a29868ab4858ea05b82239890f364f66332f1,341eb5b86e6119f7099a1a682ea4b2542261eecb,8655f8f8397f779fb043536d9fa026c157b16cd0,31972be113394342e4664d4c07a237be554cad71,95eec8d500c1537290a3440fd85164f506391569
23,499,a4ab4bdfa0c9cfff3997ea5d92be8fe353ef0d65,1c235329c3f954f6557896ccc1942e6a05a498f4,1f77623f28b6ed50ccf6ba90665d6a9a7b53f95e,bb4da2baf3053936139b7bc453dfb887d61e378f
24,500,5c0d81affcabed7d4f93f1abd739b266d8dee808
25,501,4e3837c6cdfb8a47985f196773f810fa39c33273
