group,oldest_pull,pulls_total,commits_total
689,1552,1,3
690,1553,1,1
691,1566,1,1
692,1568,1,1
693,1572,1,1
694,1573,1,2
695,1576,1,1
696,1577,1,1
697,1574,1,1
698,1581,1,1
699,1582,1,1
700,1589,1,2
701,1586,1,1
702,1585,1,1
703,1588,1,1
704,1587,1,1
705,1590,1,1
706,1592,1,1
707,1567,1,19
708,1593,1,1
709,1595,1,9
710,1594,1,3
711,1596,1,9
712,1598,1,1
713,1603,1,13
714,1606,1,2
715,1611,1,2
716,1609,1,1
717,1610,1,1
718,1605,1,1
719,1604,1,1
720,1607,1,1
721,1612,1,1
722,1613,1,1
723,1621,1,8
724,1615,1,1
725,1618,1,1
726,1627,1,1
727,1628,1,1
728,1629,1,2
729,1624,1,1
730,1626,1,1
731,1623,1,1
732,1625,1,1
733,1632,1,5
734,1637,1,1
735,1633,1,1
736,1634,1,1
737,1638,1,1
738,1635,1,1
739,1639,1,6
740,1644,1,1
741,1643,1,3
742,1645,1,1
743,1646,1,1
744,1640,1,1
745,1647,1,1
746,1641,1,1
747,1672,1,5
748,1649,1,1
749,1650,1,1
750,1657,1,1
751,1656,1,1
752,1655,1,1
753,1651,1,1
754,1654,1,2
755,1658,1,1
756,1659,1,1
757,1662,1,4
758,1661,1,1
759,1663,1,1
760,1664,1,1
761,1665,1,2
762,1669,1,9
763,1670,1,1
764,1678,1,1
765,1673,1,2
766,1681,1,1
767,1675,1,1
768,1682,1,1
769,1690,1,1
770,1689,1,2
771,1687,1,1
772,1684,1,4
773,1683,1,1
774,1692,1,1
775,1693,1,1
776,1695,1,1
777,1696,1,1
778,1702,1,14
779,1700,1,1
780,1703,1,1
781,1699,1,1
782,1704,1,2
783,1706,1,3
784,1707,1,1
785,1708,1,1
786,1709,1,1
787,1710,1,1
788,1712,1,1
789,1714,1,2
790,1713,1,1
791,1715,1,1
792,1716,1,1
793,1717,1,3
794,1720,1,1
795,1719,1,1
796,1718,1,1
797,1722,1,3
798,1723,1,1
799,1724,1,1
800,1725,1,1
801,1726,1,1
802,1728,1,10
803,1729,1,1
804,1727,1,3
805,1731,1,2
806,1739,1,26
807,1730,1,1
808,1732,1,1
809,1733,1,1
810,1734,1,2
811,1736,1,2
812,1741,1,3
813,1738,1,1
814,1737,1,2
815,1740,1,1
816,1743,1,2
817,1747,1,1
818,1745,1,4
819,1749,1,1
820,1751,1,1
821,1753,1,3
822,1756,1,1
823,1754,1,2
824,1755,1,1
825,1759,1,1
826,1758,1,2
827,1757,1,3
828,1761,1,2
829,1760,1,2
830,1762,1,1
831,1764,1,1
832,1763,1,2
833,1765,1,1
834,1766,1,4
835,1767,1,3
836,1768,1,4
837,1769,1,2
838,1770,1,1
839,1773,1,1
840,1774,1,1
841,1772,1,1
842,1777,1,1
843,1776,1,7
844,1779,1,1
845,1780,1,1
846,1781,1,2
847,1784,1,1
848,1785,1,4
849,1786,1,1
850,1789,1,1
851,1790,1,1
852,1791,1,1
853,1796,1,8
854,1807,1,3
855,1805,1,1
856,1803,1,2
857,1797,1,1
858,1795,1,1
859,1792,1,1
860,1793,1,2
861,1794,1,1
862,1806,1,5
863,1808,1,1
864,1810,1,2
865,1809,1,1
866,1811,1,1
867,1812,1,2
868,1813,1,1
869,1815,1,1
870,1816,1,6
871,1823,1,2
872,1818,1,3
873,1817,1,2
874,1825,1,1
875,1826,1,1
876,1824,1,1
877,1827,1,1
878,1829,1,3
879,1828,1,1
880,1832,1,2
881,1831,1,1
882,1833,1,1
883,1834,1,1
884,1840,1,2
885,1835,1,1
886,1836,1,1
887,1838,1,3
888,1839,1,1
889,1841,1,1
890,1842,1,2
891,1846,1,3
892,1844,1,1
893,1845,1,1
894,1843,1,1
895,1851,1,7
896,1850,1,3
897,1853,1,1
898,1852,1,2
899,1854,1,1
900,1855,1,1
901,1856,1,2
902,1857,1,2
903,1860,1,1
904,1858,1,1
905,1861,1,1
906,1859,1,1
907,1862,1,1
908,1867,1,13
909,1865,1,2
910,1864,1,1
911,1868,1,1
912,1863,1,10
913,1869,1,1
914,1870,1,1
915,1871,1,5
916,1875,1,6
917,1877,1,1
918,1874,1,2
919,1872,1,2
920,1873,1,3
