pull_no,found_id,is_issue,is_pull_request
39342,38947,True,False
39330,29483,True,False
39316,39263,True,False
39254,39248,True,False
39249,31140,True,False
39249,31140,True,False
39233,39331,True,False
39215,39155,True,False
39197,41313,False,True
39196,41273,True,False
39194,41273,True,False
39185,36039,True,False
39184,39288,True,False
39148,37428,True,False
39137,38312,True,False
39135,39165,True,False
39104,39082,True,False
39097,39092,True,False
39071,39070,True,False
39008,38809,False,True
39003,33746,True,False
38987,38666,False,True
38955,29483,True,False
38911,38039,True,False
38907,38893,False,True
38905,32623,False,True
38893,38798,True,False
38893,38819,True,False
38887,37894,False,True
38859,3705,True,False
38835,37802,False,True
38835,36562,False,True
38831,37531,True,False
38754,38767,True,False
38752,37868,True,False
38748,40234,False,True
38748,41118,True,False
38714,38571,True,False
38613,38615,True,False
38611,38527,False,True
38574,34678,True,False
38574,34695,False,True
38562,38587,True,False
38457,38454,True,False
38457,38417,False,True
38456,37712,True,False
38451,38467,True,False
38441,38330,True,False
38441,38330,True,False
38410,38483,True,False
38396,38183,True,False
38394,36532,True,False
38394,34658,True,False
38328,38303,True,False
38324,35074,True,False
38319,32576,True,False
38319,33564,True,False
38316,36894,True,False
38300,35851,True,False
38258,38316,False,True
38249,38183,True,False
38203,44244,True,False
38189,37987,True,False
38185,37097,True,False
38182,37237,True,False
38182,37232,True,False
38182,37261,True,False
38176,35998,True,False
38176,35999,True,False
38152,31849,True,False
38113,38105,True,False
38112,38111,True,False
38049,36931,False,True
37992,37926,True,False
37985,35823,True,False
37985,35820,True,False
37985,35824,True,False
37969,37991,True,False
37966,37182,True,False
37954,37876,True,False
37941,37777,False,True
37900,37030,True,False
37897,33088,True,False
37851,30326,True,False
37827,37031,True,False
37801,35965,True,False
37801,37689,True,False
37747,37186,False,True
37679,37434,True,False
37666,37646,False,True
37638,37623,False,True
37638,37623,False,True
37623,37567,True,False
37600,37584,True,False
37600,37584,True,False
37512,25372,True,False
37488,37269,True,False
37445,37310,True,False
37445,37279,True,False
37433,2487,True,False
37396,34560,False,True
37373,37213,True,False
37351,33821,True,False
37319,37236,False,True
37303,37434,True,False
37270,36330,True,False
37250,36643,True,False
37250,37065,True,False
37247,37384,True,False
37247,31742,True,False
37216,36241,True,False
37194,36872,True,False
37149,33287,True,False
37117,36709,False,True
37085,29589,True,False
