pull_no,found_id,is_issue,is_pull_request
18541,18506,True,False
18539,18467,True,False
18539,16648,True,False
18537,18191,True,False
18529,18455,True,False
18529,18496,False,True
18525,18524,True,False
18502,18106,True,False
18496,18455,True,False
18489,18417,True,False
18487,18478,False,True
18486,18478,False,True
18485,18106,True,False
18485,18463,False,True
18470,18190,False,True
18463,18106,True,False
18461,18454,False,True
18460,18454,False,True
18459,18388,True,False
18459,18457,False,True
18458,18388,True,False
18458,18457,False,True
18457,18388,True,False
18456,18446,False,True
18415,18401,False,True
18390,18180,True,False
18390,18385,False,True
18389,18030,True,False
18385,18180,True,False
18369,18296,False,True
18366,18334,False,True
18365,18334,False,True
18363,18325,False,True
18362,18325,False,True
18333,17601,True,False
18333,16588,True,False
18329,18317,True,False
18329,18318,False,True
18322,16513,True,False
18322,18302,False,True
18321,16513,True,False
18321,18302,False,True
18318,18317,True,False
18309,17601,True,False
18309,16588,True,False
18302,16513,True,False
18301,18296,False,True
18285,18284,False,True
18280,18227,True,False
18275,17710,True,False
18272,15195,True,False
18255,18253,True,False
18216,7095,True,False
18116,17838,False,True
18101,7095,True,False
18099,18090,False,True
18069,10643,True,False
18069,10643,True,False
18066,37583,False,False
18065,18041,False,True
18049,18019,True,False
18049,18019,True,False
18044,18020,True,False
18044,18020,True,False
18027,18000,False,True
18026,18000,False,True
18025,12022,True,False
18025,12022,True,False
18022,12022,True,False
18010,17897,True,False
18010,17992,False,True
17999,17986,False,True
17998,17968,False,True
17995,17869,True,False
17995,17963,False,True
17992,17897,True,False
17991,17986,False,True
17988,17869,True,False
17988,17963,False,True
17984,17968,False,True
17981,17980,True,False
17974,9726,True,False
17974,9726,True,False
17972,13552,True,False
17963,17869,True,False
17961,17832,False,True
17958,17956,False,True
17905,3571,True,True
17904,17832,False,True
17882,16763,True,False
17855,17817,True,False
17855,17817,True,False
17851,17838,False,True
17848,17847,False,True
17842,17270,False,True
17821,17808,True,False
17815,17814,True,False
17791,17785,False,True
17786,17785,False,True
17763,17726,True,False
17763,17723,False,True
17762,17726,True,False
17762,17723,False,True
17755,16557,True,False
17755,16557,True,False
17745,17589,False,True
17741,17738,False,True
17723,17726,True,False
17719,14828,True,False
17701,17693,True,False
17688,17666,False,True
17676,13777,True,False
17676,13777,True,False
17670,17546,True,False
17669,16632,True,False
17668,17667,False,True
17663,17631,False,True
17662,12249,True,False
17660,10559,True,False
17645,17628,False,True
17627,17583,False,True
17626,17583,False,True
17622,367,False,True
17622,17133,True,False
17622,17133,True,False
17622,17590,False,True
17621,367,False,True
17621,17133,True,False
17621,17133,True,False
17621,17590,False,True
17608,12337,True,False
17608,12337,True,False
17590,367,False,True
17590,17133,True,False
17590,17133,True,False
17586,17554,False,True
17586,17566,False,True
17583,17515,True,False
17582,17581,False,True
17579,16206,True,False
17564,16026,True,False
17536,17511,False,True
17524,15203,True,False
17524,17083,True,False
17523,15203,True,False
17523,17083,True,False
17513,17506,False,True
17478,15203,True,False
17478,17083,True,False
17474,17473,True,False
17464,17457,True,False
17459,17423,False,True
17433,17341,False,True
17424,17423,False,True
17415,17338,False,True
17410,17223,False,True
17409,17223,False,True
17401,17338,False,True
17399,15203,True,False
17399,17083,True,False
17390,17386,False,True
17372,17341,False,True
17372,17338,False,True
17368,17288,True,False
17359,17358,False,True
17341,17338,False,True
17330,17327,True,False
17329,17307,False,True
17303,2,True,True
17299,15106,True,False
17299,15107,True,False
17299,15108,True,False
17299,15109,True,False
17299,15110,True,False
17293,17256,True,False
17293,17261,False,True
17292,17151,True,False
17292,17177,False,True
17291,17131,False,True
17290,17131,False,True
17277,17276,False,True
17273,17272,False,True
17268,17260,False,True
17261,17256,True,False
17252,15051,False,True
17252,15922,False,True
17241,17238,False,True
17240,17238,False,True
17239,17238,False,True
17234,17233,False,True
17221,17213,False,True
17220,17213,False,True
17211,17151,True,False
17211,17177,False,True
17208,17151,True,False
17208,17177,False,True
17195,17190,True,False
17189,16570,True,False
17187,17185,False,True
17186,17185,False,True
17178,17176,False,True
17177,17151,True,False
17175,16570,True,False
17170,17169,False,True
17165,12586,True,False
17162,17161,True,False
17152,17139,True,False
17147,17004,True,False
17130,17004,True,False
17123,17064,True,False
17116,0,False,False
17092,16882,False,True
17081,17064,True,False
17078,17002,False,True
17077,17020,False,True
17075,16851,False,True
17027,16395,True,False
17015,12,True,True
17003,16897,False,True
16998,16759,True,False
16998,12421,True,False
16998,16945,False,True
16997,16759,True,False
16997,12421,True,False
16997,16945,False,True
16973,12,True,True
16972,7454,True,False
16963,16951,False,True
16962,16951,False,True
16945,16759,True,False
16945,12421,True,False
16941,16933,False,True
16940,16933,False,True
16925,16521,True,False
16920,16562,False,True
16910,16894,False,True
16902,7005,True,False
16901,7005,True,False
16896,7005,True,False
16895,16894,False,True
16884,16866,False,True
16852,16607,True,False
16852,7001,False,True
16850,16675,False,True
16828,2,True,True
16828,0,False,False
16828,1,False,True
16823,16808,True,False
16812,16807,False,True
16768,16744,False,True
16758,16486,True,False
16757,16486,True,False
16756,16486,True,False
16755,16486,True,False
16735,16712,True,False
16735,16733,False,True
16734,16712,True,False
16734,16733,False,True
16733,16712,True,False
16718,16913,True,False
16656,16189,True,False
16656,16212,False,True
16652,15153,True,False
16647,16189,True,False
16647,16212,False,True
16646,16189,True,False
16646,16212,False,True
16595,14730,True,False
16593,16591,True,False
16575,16567,False,True
16574,16567,False,True
16560,16486,True,False
16555,16486,True,False
16555,16539,False,True
16554,16486,True,False
16554,16539,False,True
16553,14730,True,False
16539,16486,True,False
16532,16510,False,True
16450,16415,True,False
16450,16415,True,False
16446,15021,True,False
16444,16439,False,True
16442,16299,False,True
16425,15349,True,False
16424,16034,True,False
16423,16034,True,False
16402,4,True,True
16372,16367,False,True
16363,16248,True,False
16345,15192,True,False
16344,16343,False,True
16336,16334,True,False
16330,2639,True,True
16328,16233,False,True
16327,16233,False,True
16292,12917,True,False
16269,16254,False,True
16261,16260,True,False
16245,16177,False,True
16244,16034,True,False
16239,16236,False,True
16238,16236,False,True
16237,16236,False,True
16212,16189,True,False
16207,16205,False,True
16174,16141,False,True
16155,126,False,True
16143,15575,True,False
16142,15575,True,False
16107,15259,True,False
16097,15153,True,False
16094,13857,True,True
16094,1443346,False,False
16088,16014,False,True
16075,15076,True,False
16073,15835,True,False
16073,16070,False,True
16072,15835,True,False
16072,16070,False,True
16070,15835,True,False
16065,15068,True,False
16059,15074,True,False
16059,15170,True,False
16059,15172,True,False
16053,16048,False,True
16052,16048,False,True
16051,16048,False,True
16050,16035,False,True
16009,15908,True,False
16008,15879,False,True
16007,15879,False,True
15991,15930,False,True
15962,15932,False,True
15959,15616,False,True
15930,14931,True,False
15930,14932,True,False
15930,14942,True,False
15930,14943,True,False
15924,15896,False,True
15917,15915,False,True
15916,15915,False,True
15880,15873,False,True
15871,14931,True,False
15871,14932,True,False
15871,14942,True,False
15871,14943,True,False
15870,13907,True,True
15870,14945,True,False
15870,14946,True,False
15870,14948,True,False
15867,15853,True,False
15860,119,True,True
15856,119,True,True
15854,15844,False,True
15848,15834,False,True
15832,14855,True,False
15816,14967,False,True
15813,15799,False,True
15811,15809,False,True
15795,15154,True,False
15785,9664,True,False
15785,15548,False,True
15784,15705,False,True
15755,15741,False,True
15753,14830,True,False
15749,15647,True,False
15748,15728,True,False
15730,14166,False,True
15729,14166,False,True
15725,15721,False,True
15719,15696,False,True
15703,15691,True,False
15690,15682,False,True
15685,15366,True,False
15685,15306,True,False
15685,15392,False,True
15678,15669,True,False
15670,15667,False,True
15658,14917,True,False
15657,15652,False,True
15656,15612,True,False
15638,10645,True,False
15591,15268,True,False
15548,9664,True,False
15528,15446,True,False
15522,15077,True,False
15522,11269,True,False
15510,15350,True,False
15495,15450,False,True
15492,14957,True,False
15471,15469,False,True
15467,15266,False,True
15461,15135,False,True
15460,15459,False,True
15452,15078,True,False
15452,15079,True,False
15449,13408,True,False
15445,9664,True,False
15445,15401,False,True
15444,9664,True,False
15444,15401,False,True
15431,14848,True,False
15425,15410,False,True
15414,15239,False,True
15409,15329,True,False
15409,15265,True,False
15409,15397,False,True
15408,14848,True,False
15401,9664,True,False
15397,15329,True,False
15397,15265,True,False
15392,15366,True,False
15392,15306,True,False
15387,15379,True,False
15387,15383,False,True
15386,15379,True,False
15386,15383,False,True
15385,15357,False,True
15383,15379,True,False
15380,15215,False,True
15358,15332,False,True
15357,14608,True,False
15326,15325,False,True
15301,15284,False,True
15299,15284,False,True
15298,15284,False,True
15289,15284,False,True
15288,15284,False,True
15286,15203,True,False
15286,15234,False,True
15285,15203,True,False
15285,15234,False,True
15279,14827,True,False
15264,15252,False,True
15234,15203,True,False
15233,15070,True,False
15231,14979,False,True
15230,14979,False,True
15220,10645,True,False
15214,14979,False,True
15207,15202,False,True
15132,15099,True,False
15132,15105,False,True
15105,15099,True,False
15056,14870,False,True
15047,14724,True,False
15043,14970,False,True
15043,14970,False,True
15043,12577,True,False
15043,12577,True,False
15017,14985,False,True
15016,14985,False,True
15014,12577,True,False
15013,14987,False,True
15012,14987,False,True
15001,14992,False,True
14994,14992,False,True
14982,14979,False,True
14981,14979,False,True
14970,12577,True,False
14969,7377,True,False
14969,14773,False,True
14967,13901,True,True
14967,14959,True,False
14965,14958,False,True
14964,14958,False,True
14888,14848,True,False
14884,14152,True,False
14884,14152,True,False
14883,14152,True,False
14861,14555,True,False
14860,14152,True,False
14846,14840,False,True
14842,14840,False,True
14833,14214,True,False
14832,14214,True,False
14832,14821,False,True
14822,14609,True,False
14822,14679,False,True
14821,14214,True,False
14813,13873,True,False
14813,14782,False,True
14812,13873,True,False
14812,14782,False,True
14804,14366,True,False
14800,14798,False,True
14800,14799,False,True
14799,14798,False,True
14778,14775,False,True
14777,12141,True,False
14773,7377,True,False
14763,4305,True,True
14763,14664,False,True
14741,14735,False,True
14740,14735,False,True
14739,14735,False,True
14738,14735,False,True
14733,14555,True,False
14710,14594,True,False
14706,14133,True,True
14703,14682,False,True
14699,14503,False,True
14699,14519,False,True
14699,14516,False,True
14699,14333,True,False
14682,14665,False,True
14679,14609,True,False
14677,4305,True,True
14677,14664,False,True
14668,14283,True,True
14664,4305,True,True
14640,14077,False,True
14638,14077,False,True
14637,14077,False,True
14581,13281,True,True
14580,13281,True,True
14576,13281,True,True
14531,14501,False,True
14530,14501,False,True
14472,14402,True,True
14457,13028,True,False
14457,14406,False,True
14439,14105,True,True
14438,14105,True,True
14435,14311,True,False
14427,14376,True,False
14422,14404,False,True
14414,14395,True,True
14413,14395,True,True
14406,13028,True,False
14402,14333,True,False
14392,14368,True,True
14388,14368,True,True
14387,14368,True,True
14386,14368,True,True
14384,14366,True,False
14354,14353,True,False
14347,14344,True,True
14346,14344,True,True
14345,14344,True,True
14335,9664,True,False
14307,14303,True,True
14275,14265,True,True
14274,14265,True,True
14256,14255,True,False
14236,12701,True,True
14236,12070,True,True
14235,12701,True,True
14235,12070,True,True
14222,14201,True,True
14221,14201,True,True
14220,14201,True,True
14212,14086,True,True
14211,14086,True,True
14187,12701,True,True
14187,12070,True,True
14185,11509,True,True
14161,13301,True,True
14155,11959,True,False
14148,14142,True,True
14145,14117,True,True
14138,14043,True,True
14137,14043,True,True
14135,14043,True,True
14127,13926,True,False
14085,14078,True,True
14083,14078,True,True
14072,14082,True,True
14072,14081,True,True
14063,14056,True,True
14063,14050,False,True
14050,14039,True,True
14019,13698,True,True
14007,13162,True,False
14007,13991,True,True
14006,13162,True,False
14006,13991,True,True
14002,13446,True,True
14001,13446,True,True
13998,13961,False,True
13997,13301,True,True
13996,12821,True,False
13996,13994,True,True
13995,12821,True,False
13995,13994,True,True
13994,12821,True,False
13991,13162,True,False
13987,13698,True,True
13986,13698,True,True
13962,13714,True,False
13958,13446,True,True
13952,13799,True,True
13951,13799,True,True
13949,13163,True,False
13944,13909,True,True
13916,13892,True,True
13911,13877,True,True
13910,13877,True,True
13887,11554,True,True
13887,5,False,True
13886,13834,True,False
13886,13847,True,True
13884,13847,True,True
13883,13847,True,True
13882,13847,True,True
13875,12372,True,True
13869,13866,True,True
13868,13866,True,True
13867,13866,True,True
13857,1443346,False,False
13857,1443346,False,False
13856,1444258,False,False
13854,1443346,False,False
13854,1443346,False,False
13850,13755,True,False
13848,13755,True,False
13832,13817,True,True
13831,13817,True,True
13800,13553,True,True
13798,12203,True,False
13793,13397,True,True
13782,13434,True,False
13781,13665,True,True
13764,11014,True,True
13748,13746,True,True
13724,13700,True,True
13723,13659,True,True
13723,13675,True,True
13718,13713,True,True
13717,13150,True,False
13717,13151,True,True
13690,13649,True,True
13677,13659,True,True
13677,13675,True,True
13675,13659,True,True
13670,13659,True,True
13645,13637,True,True
13644,13446,True,True
13633,8168,True,False
13612,13607,True,False
13605,13581,True,True
13604,13581,True,True
13601,13599,True,False
13590,12940,True,True
13590,13589,True,True
13589,12940,True,True
13578,13564,True,True
13558,13550,True,False
13558,13551,True,False
13545,13508,True,False
13511,802376,False,False
13511,821841,False,False
13507,12985,True,True
13504,13447,True,True
13503,13447,True,True
13502,13447,True,True
13498,12971,True,True
13486,13415,True,True
13485,13466,True,False
13458,13323,True,True
13451,13434,True,False
13442,13421,True,True
13425,13414,True,True
13425,13198,True,True
13425,13326,True,True
13424,13421,True,True
13423,13421,True,True
13422,13421,True,True
13396,13351,True,True
13396,13395,False,True
13364,13363,True,True
13325,13198,True,True
13325,9746,True,True
13324,13113,True,False
13308,8503,True,False
13306,13301,True,True
13303,13242,True,True
13300,13242,True,True
13299,13242,True,True
13294,13287,True,True
13286,13125,True,True
13256,11509,True,True
13256,13253,True,False
13251,13250,True,False
13249,13229,True,True
13244,12695,True,True
13243,12695,True,True
13237,13135,True,True
13228,13216,True,True
13227,13216,True,True
13226,13216,True,True
13208,13154,True,True
13208,13177,True,True
13202,13190,True,True
13168,13137,True,True
13151,13150,True,False
13146,13106,True,True
13140,13113,True,False
13131,13106,True,True
13058,13050,True,True
13052,12272,True,True
13036,12999,True,True
13034,13031,True,True
13022,11430,True,False
13013,12946,True,True
13012,12946,True,True
13004,12970,True,True
13003,12994,True,True
13001,12946,True,True
13000,12946,True,True
12967,12114,True,True
12944,12941,True,True
12943,12941,True,True
12942,12941,True,True
12937,12833,True,True
12930,12903,True,True
12929,12903,True,True
12928,12903,True,True
12927,12903,True,True
12908,12902,True,True
12907,12902,True,True
12906,12902,True,True
12905,12902,True,True
12891,12838,True,True
12890,12838,True,True
12889,12838,True,True
12888,12838,True,True
12887,12867,True,True
12886,12867,True,True
12885,12867,True,True
12884,12867,True,True
12876,12872,True,True
