group,elements
118,16517,0c015aa815aa515835599fce20ca8b99a91fecb3,cb5470b40a8640d52b3db0fc9f729d84c90e3dcc,f562c7ef6a23e9f713a53b446e937eedc63728b6
119,16519,44d33673a5d390e1f691967eb776c608d60b7a64
120,16520,ab1e9be35e78e6a99f5e97cc6e1df514ddbdb8ab,340289d4aed8b8fe59379991d7b1320b419a2d36,162849f97202e8a24355fb77b01657b891436383
121,16518,f9f5fff40c2012dc9631b7128d72c945620ce4fb
122,16515,f4145ce10815b2f4a1d585dbdf462aa17015aed1
123,16514,9ad1f080778a92dd5e64f77013af187ee8ae81ee
124,16374,f516e79dd981e174ebf04fe81b76cdbec25f6b20
125,16522,55002c3e02890c9e3df3764045a4369832361525
126,16470,645c01066c08adef6d302a25d1ed9db6047e3042
127,16510,d164550a61bf973e852a54a30fc4e176f99c094c,475defca4d4d24dc44c660244b645df5f33e20ac,ba824cb9213670069b85ab397a7163a50e911ff6,5b20322a84bac20433103ac06a59e654cf581485,8e6b967391533fbbe555e8aa83a5fdf501f81c36,460bfa9beb5159156df2256766d738debeffe706,d6fa5ff9c6c482582149c93613468a0e0432d2af
128,16469,0375acd7c8b1634a44477f2a561a10cd4d01858a
129,15224,c534511003bdd84ef08dd8a7cf725d4d0f063f5e
130,16529,39ddea398311fcc08c589bc00d9c39e594e43c5d
131,16530,c870df0aa7a8111743bab8bbe6b9f3f6fa8ed870
132,16534,56b83f489b42e076bd7259cf42b4c684e63c7785
133,16456,2ca04a9743ceab99714377180ba3b2b6d589ba7f
134,16298,fc21168065af270d1e500fa6be618f8563d0c525
135,16471,c80a1eca636c82014f8fbb9873e5391cddffa9a9
136,16450,1bee4e354cd2e067b8ba595184a19f2cca5b8387,1bee4e354cd2e067b8ba595184a19f2cca5b8387
137,16536,71f0f0ff827b03252e8967aeb6152a14cc3198ec
138,16242,bd3cc61301cc12d167b284316e9d99af92f2130b
139,16531,a0ba2cbce52dd312fb34a39d366dde5b4a878fe3
140,15629,ff73c84482f99036f04c883316246d43d17f44d4
141,16533,056d5ca545d8534fa4b9c8b9268913775607e25a
142,16523,7c4c30ec002c48ef97d9a36991bedec757b94264
143,16545,7ca965e09c35b1f9a2a7a56f68f0be997f841754
144,16539,1d23ca14e1cd5f73097f71db336f25eeedba86b6
145,16538,e32fb11dbea1743b495241dc648065fa1938aa54
146,16288,07c6b1c9f1595e3d01dcf15a18b06cffea7156dc
147,16535,2f2d9541e593ed6976b32bde80a5f47b25ff9148
148,16309,2e9c5df855566402a314864580ec7dd908be2112
149,16526,52c1d4acfc751dd83f1964648cd91288988d7eec
150,16483,421bd79f06a92372e0259be5349e4236edf0e7bb
151,16525,3b57849541b35a8f6cced2957b9a6fdc0680136f
152,16548,309cf1bcee1a605830f1cc73a90ca6dc44a89c7f
153,15624,5390b796dd9c16eaded61c406a4cea9c66ea8905
154,16558,210b3243471a61024d54b16d4092e90134ff098e
155,16561,c3ccb6e0272a6b000a8adfb81c02c240adffc649
156,16567,796a5751315dbf95bc7dedea684840e4cce84861
157,16527,cbb9c645eb4d4d0f03da3dab3c99a4bcc9919fbe
158,16566,3db78e829c0909bf9ca459e3a3e1033365386569
159,16350,36296ce291f8a7b19de3eccb7a32c7e4ed9df8f2
160,16569,07045604cf8e436359d04f18eff05ae00668e752
161,16582,9db00e74950a5b9572dbcfb3c6403503ae5b236d
162,16559,94797b95d6b3c3f1b601831395dbeb3b5dd8e802
163,16584,c8707c6e84ed5978fb21be3c2dd4fe678b904c9c
164,16571,80b7813d54bbf7e3e20361228e109b2b9abcccb5
165,16580,86c45ff645e59c997341ac44e95d03d4491c50eb
166,16590,4997d832916d092ee5a69bd28d0ee354a49c6e35
167,14691,5eb67ac88a2b26f28091d4f4876720ba3dbd8674
168,16552,dbce6ac447dcb9443f50da9fe50caed50adc1d06
169,16589,06e63b345f0be60008597784d1cc8b3251bf60fa
170,16474,f735571f27738e3354f6d92650a0517d0482039d
171,16187,8bc27f6665fdd8464f3fdad15a974e5f38f9b7f2
172,16583,cba94f28bed566e7a976842d016a7b2d4ef3f91a
173,15502,a768b1533051aa37fc34af438e9af5bab48d515d
174,16587,bf53a3a53bd0aef81e0e2eed24ab835ebb1630fa
175,16494,2f5c8cba6e0aedf47be4fd9e49c1dced721cecb6
176,16498,9b193b9ec4594c68b85a20bb7ae2bfcd6be7796b
177,16608,91445e2286023292b219f3733bc629ed65f06e96,ea0db154b44be82f48cd13c85619f0e82295d511,5d9ca2064652b75f221e633122ec34f80fb50676,24180e9106d1940795363ae70634ebe1d1446fb3,07b7c7d82452dc4255e4d626bc4843712a0129c6
178,16577,fb26a68fd1752783cbc8827ac78d2b3bbf260d62
179,16610,6327274b54cca5ad11207c79f5a611ca1623c60f
180,16594,c9a6dd351a7efff698fd2b2dc8939ce1fc24f0cb
181,16612,b3e48bcf9544ad7210be374c74f51a492d8e4afd
182,16624,ca389a3cae8a1a4b9498451c0dc000e614f9db52,6ca4e847587427b8fa7dd24b06cb75db1ba4e289,eaa525ab412a61d0e1014eda8a8655ab1e2fe376,73c8017b1f1f9a1350c10971acd07d1b54139923
183,16547,a6b91f42951492314468e63ec7d2161baea6122b
184,16617,03899588bae58b30bd13548f49c779037a4bf177,b9b13f0fc10496e54c5b72993c589ca24fa636ab
185,16598,f491af13f482fb42313aa5919ef6e2a030501994
186,16330,f23113afcdd2a405b402bef3fb926c0c72ba7221
187,16630,5692180ea21e596a08120090dd804872be3df1aa
188,16599,416a31796e6a34a134d251760c6055bacc39878c
189,16449,98a4d5ec1eb2becf1d002a5fbb070f1079bc6fe4
190,16553,5377f9655d24c3ff19545398f89df462c77589b3
191,16638,f8718c7a056938335453fd77a71a930beed51074
192,16546,930a5d7d440a735b8b50e57ed397a700e3ee27b5
193,16593,4ae804bb33e394ee5f5a32742e6b500cde913cff
194,16622,37e49876b9b5a43f4144ca2972e5bdbfa4d75090
195,16106,625af20cefcc3944fa10f341329ff40fc9e27694
196,16596,1046dd746f3f99e97f034a2c2b51bdb4e19128ae
197,16625,651eb7696e7887597df0eb149cd7eb222ea807b4
198,16579,1780e1d1f8b01feafe6ddcb2c59d241122a6e61a
199,16636,68b7af05399023cfedefe13965070b477648f54a,5f79b69e34abfcef3fe1126da500e075e149b0b5,ea512c1604f90f47b876a0e098b1f852efa98c1d,aad54942583f8658ab6d7e7af5ffe3b76b3f35b3,83953ef83d9c1281be17580583c0b883e6b9c2a0
200,16644,0fc4d68d8e5782240b9be19031838d717591ac00
201,15622,40a8d88d8e0178d333c53ea3cb0e53363c2304ba,4b02c3eb9df654784cdfcd40f6a9a9ab590fb337,8d4c0f3553d91704e2ff1aae6d954716ca3aa5e2,001398e05bc5f16119e17a737102f6f6fb027047,1b66666cc7d74a5e416483cbfcf8611df091233e,8c0dc66d25204a25e22126a2d54ba0f09f580a51,4a52bd6da005dc4359c41333706286deeb308d23,4840f4161f75d55462234cc07959e354075d4269,e50a7360e1c417b8f29d322409ca66c76dc07e39
202,16619,4107a1538993b75e08f5ed062a27bb76dfd20c5a
203,16649,e1b568b5293a5f85c0f0c6b3c68255c810c085df
204,15530,8c288f06664c65050b153da0a8952209adc958a0,b66ec468dae0305d85db4fef48bed8f6d5866c4a,82d4d8d81d5a5d9eefaec7bac09e9eb9cd2ce32f
205,16654,dcb90fa1c041ac607273a8d4bb58efa379dc91b3
206,16618,55ac86fe8bd738a50b2c7c63cb620f535f328dcf
207,16650,1558316cecdf7186a3b792b021304c6356079bfe
208,16657,036ab58b429936bcaaee91b59aa77d07e51afe32
209,16651,350dd0e2de44a8ea0cfde38fdd3fb6747481e869
210,16578,30625b25df4e3d83f6abb30cea2bd57ff0c49539
211,16581,14afe79a0ab064ea769025ded95ae961e8df8247,a55da2a9036199c5c18442f465c4fd007c136e62
212,16562,f8be8c6de73646e7ed636d8ce1c36f997193bd66,3ca5b2687f67daefcc70e0c9b839810c84f917da,06f4f93aa554f9710527587323efc1b0b1783d1f,2db0c8c2d423094423137becff64d7e85996f1c2,74f1312cd395dcb37d1123a5be6ea493c52a3053,da2471d0010eff53a63a3a6b852bb4000ce89408,fb6e2c75cd42dddc7ee7c62a72d0292e942a11b3,8723e49b0efa61d15e2eda74a90ac8a8f7a91b2e,595b66c0ebe530054895f2c74bcd4212e77536b9,a7357e8177a95b7b01c92e30747e823d71a8aeda,d0817ccdc6492665fd57ca678d5fc55a216287fb,b8313d586aa875bd4c0916b8e52ca960d02a5739,90e256352383aa3dca659f8bedf9f12fcb52dc6f,46ea28c95b5cdd9c573f3eb0c0446050c6ed3eaa,b071aa91925a8d5db5a4648c162b397dde383142,bd9ae10c7cf657e676e89eba88384e1739de6775,8232c85e4c1e0e9d812513cb2221e19fafe41591,b3f996d45d1711e0b6b0b76d15ff78665b113a96,557645fea31c4d58987940711ca3b5ce85c7bcf9,e25d2e55360d6b108a51d823c45aaaae766e0923,4359ad66d0621afc79b4f46174a8a20acb418905,9fc2ade131f7c2ca7b176854b7891a998065c832,1f21aae8cb410fb4c6e695489a27eae9d22e265d
213,16662,c0a36b62af155be84c5dd11e3d88c3dd1cba12b2
214,16668,db626fe9d370fb1f431667ae31a370b70275ef2b
215,16670,ff7dd88cfaffa7fa430fd3e0e98f4662d0f7dc59,1dc58da7851f9ce2263cf4b042ed040761549e9c,0770a3d82b02d026961eb7ed6f813ad69520f39e,cb1a228a54755d9e7793aa20487464eba5468f56
216,16663,c3541c27389846dafe731999b31e4ade5263dee5
217,16677,ee85b695c8be5bddf7a29acf6674381024e16266
218,16682,f617a2692fe245ec15a0d17a8d9b342406a7c665
219,16425,abe48e3fd48407a5b76a6581ae7853c66d800b19
220,16667,a67839540ef15948b4aebbdcee9ec44ee0f0e9a1
221,16676,7fc0f8842e19f2e9f83a4df8f6d56011b414e3b9
222,16681,673c8835fd90c5aa05a8836fcfcf24711d456fc7
223,16666,f0dabc6618931ccd4c544657ed1a7f3d3d803c25
224,16691,c23a8906f3e0d8572a6c28b06e8a85f3d3c0ea8c
225,16675,e49be5b9ec63e526d6bec04a957cbe48753b651b
226,16499,b4886817efcb1825b6dad38ef6cf3999563b3581
227,16713,381c187df9a6007e5d843803416e61ffde13b1cf
228,16694,b18840e92cb5b1afef6c0e5df05cc026eb32efbf
229,16722,5ba104cf39cf3ed0a6b507af7aeaf324e2a06239
230,16719,d9aaed760f04236eae858683142de902308cf174
231,16720,8c77bcdfaf841fea6214f8027afbc54c8db6de80
232,16727,e15efa37b78653bb6529a93d5df086b4e4566c99
233,16672,cf2c8575e15c53153add54453c97d1d37a6db719
234,16728,d81ec884066bc81ffc1fc8f8116ff31428ccfe6f
235,16725,13391beeed5d4c8d2a98f56a8b9592e489966add
236,16609,320f91129dbc839ccd19154ea687945aa0ce2a77
237,16714,b9dbd2ff91c1ae9dbd5e1651cb239ca741406a43
238,16708,1f76ab9270db6db36481bbfde99a7e90256b70f9
239,16673,8590a25b301ec08ac688e93df37fe3ef3c2ddb11
240,16715,e563d3c76c448935b8c1f83b27a44a91478856ac
241,16401,798af6613796fcbe11cf20a33a889705483197a7
242,16704,83f965eca5cda8dc8bfd01b969a1d1481faa6977
243,16737,ba2bb209ba91d8fa2c6cf00f85f7629c7ab31415
244,16733,055818f3449b5176dcf0e4eb07491b2501112701
245,16743,f5d43ad341249593d8fc5ff8b7c90e045d4a8e62
246,16655,11f75e5260600a8cd15bc9a721f3296b94a068ea
247,16736,cfc7988318305220e91671eec19018f71c41848b,e819930ea2365e21f3f6870b1742f31f5f702ddd
248,16729,e40e24b4cdc902c82cfe0a140cdb284611104242
249,16752,96b7fead3377a0944bbb16dea309749bc995226e
250,16750,3c503413e0c925c6652f24339573d1aadd76cd20,5f9d09bc901d9ea74959133abe7e091e544052ca,05d4f301e9acfc63936242cc7cb9872ecc4bd85c,b4349817555f20e481ad59a07f58b02f10eac4d8,9894bfa6fadb1b2c2c1452cda65896274ddd321f
251,16754,eea1ab599454e55c79f5b893be54885c1e47ce85
252,16745,68f5613422b7e74c2eeea6f5cbe9d76baf4cc8d1
253,16760,e78ab0b1c0424d13ea7408f791790da52f7468e3
254,15727,47905828121f9929961cc105d1d0b835b3333b32
255,16748,697ab15c1281acfbef46c26fb668546e610bd38f
256,16749,0847a6d2188de16a159a297aaf11ecd8b036bd0c
257,16744,b26fd07ff92d42d563242326ea3ceeb7bbc439c3
258,16747,a0ed95fc98ccbf66a910152ddb9f84e7c12503e4
259,16761,f1a57de62128506c1f72ddc65ad6bafe7e24504b
260,16762,2e78f0c739840768d192fbc27c1cfec9dacd30e8
261,16764,f97ceb5c3e9180e1be0d83eb8a5c98c5c945ea33
262,16766,52aa2cd3e138218f2639200688e9a7808c0f7da6
263,16769,52d24a57d266d52db53381962e11e5416d3ff1f2,feb0b4ab9ac7cb33bcd044349506ac224118d4fb
264,16688,5ad1d62367295cf80567599fae00301958dd551c
265,16706,f4c1358ed0c496865c24ee32efa498ace0e8ed5e
266,16771,a67212d34c59a01811af4183d2790533b0293501
267,16250,6a1ac97dc757f7004f0d6160c4a9c8c19c587ae0
268,16726,2235e37470312828bae5c0d2448f1e5ee8e651a8
