commit_sha,pull_no,issue_no
ccadc650051f1844c94e2b12933c57da2a8092d9,19675,None
ec646ff710af5666b498e3f6456faa5f63b5da36,19690,None
88cae11c6b7a212b1ddcc3aa4dc8f83d06a702ca,19671,None
9e1c7d5aa446c628647f375a688dc0f52d5f8b91,19680,None
3148398386f577c4a031c50f0d4c6261314f9d31,19678,None
e93468757541bb166b72267c0ef1ae4a282262fe,19660,None
6442041b8b05e825461e57cf52b9ea4145aecf70,19664,None
41508e493de47630dae2a9478476bbac5470ddf0,19666,None
c0c18ce34b93858ccac8c1c5ac3941a12f141531,19647,None
f627ac6c16850b56d663773fb551d334f2d0dab3,19646,None
aff8690a9b4ceca632d117896ba1df13c0938a33,19611,None
b2ec7fbfd9370558a6e625139636e7c93f352254,19643,None
d4cb7ce1506c972d63cf74f61e7e0c1ad3c7412f,19541,None
7e64403cfa3ec7e85501678666c7f95e9300bbb5,19362,None
0568261f2082a1a592661104fc1156bbe3f05f18,19638,None
82c4f32882e3786d7863b34126d2221128d7db00,19639,None
946a479729fa218ddbfca3f3e19a97a1a3a2ac1a,19620,19466
1763f53a4f52514a834940943e7777ff94cfdc0b,None,None
3a04bff3958658de9c27400f8f9b2724c3208c84,19614,None
2c9ccaa46fd488c3003465121368caf0a9e1aab3,19538,None
1289c368953221946788e8cd4640639562d24a77,19631,None
bc8f97180344fbb9e88f79a1a1f3fd37cd2a39d6,19629,None
e5937caf9718c8b516ee92c0ce08def9d813eb1b,19626,None
2c5eb1993ff87c26c6d3a950e1f081961f6799eb,19590,None
0a37eeadece5c2cec8a6e1f43a94f0b323a22513,19570,None
068b41946d27f8ab23450c457b0aeec06776af3d,19604,None
17c4a60cd2871a0ed280e9068f4d755618dbb3ac,19588,None
4821038587b9e938e1fda627c8da56fd56b6c1ae,19575,None
12dd9040252e5b9c63b8df9ef53777eb01232405,19601,None
b2f760ddb38721c4d147dc7dc2a00a8456d99572,19572,None
4eb9787f1bf56333694c33c9bdcf480019e9f81f,19584,None
e400e13324ea396991882ad960c0bab7ff9fa8b5,19583,None
5c5be77f00818008938f270f69c7e49abbd80465,19576,None
7f0b1b1037478c54f352b8227bd29e77d9bfd683,19537,None
80f7953477e589501bc445aa4bf21fedab7c52a4,19565,None
dfd748b6952b7da3f01b04a7676e399b267a5911,19564,None
bb019312d382ee6a84390745547733b099047f3e,19574,None
354c9e68b68cf5e00dbab95ad429f619c04270b9,19535,None
a65055dbdf280004c56036a5d6dde6bec9e42436,19482,None
eb68dbc2b010ac6dcd7f4a652e55eae315d75d60,19563,None
42f5d32e120d27c7213bfebce3b7113be40358e4,19449,None
b1e4d125c7158b69f74c233a171f3be9b886ce3f,19556,None
039a6890f4cc38c2c99b6f2904835095c1185c53,19542,None
be24f101bdcacb1cd27ae5fd248f0615ed8a1d8f,19499,None
123bee96202d84bae06bf368bf4d3ca5cacd8ccd,19544,None
aaf7a193ccccab10f8538c087c268d2d06ff3ea8,19485,None
a73d0c028f15ac71beb5e46a126d3d7dd4e4096b,19546,None
5a71ba15f3d02ab4b3b764d9044b29f2f576ef95,19494,None
a5fd1cd86f9f1497fd0fae8665120aa78b705caf,19521,None
a87a90463ebfe69782a577f5572816cc2a2f3a27,19475,None
6e6f67669dfb74c9f0285c47379ff49181d32faa,19525,None
e4eb2f0efc96822068747e964e9c7d5afc9a9291,19520,None
bc3f47fdf5f1e7a4e8f681e4583586f3fce7a164,19507,None
