group,oldest_pull,pulls_total,commits_total
496,1629,1,1
497,1630,1,1
498,1418,1,1
499,1643,1,1
500,1402,1,1
501,1642,1,1
502,1691,1,2
503,1645,1,1
504,1646,1,2
505,1649,1,1
506,1640,1,1
507,1650,1,2
508,2612,1,16
509,1652,1,1
510,1654,1,1
511,1657,1,1
512,1670,1,1
513,1674,1,1
514,1679,1,1
515,1626,1,1
516,1682,1,1
517,1684,1,1
518,1686,1,1
519,1625,1,6
520,1693,1,1
521,1694,1,2
522,1739,1,1
523,1688,1,1
524,1738,1,2
525,1701,1,2
526,1706,1,1
527,1703,1,1
528,1707,1,2
529,1708,1,1
530,1711,1,1
531,1714,1,1
532,1715,1,1
533,1716,1,1
534,1725,1,1
535,1726,1,1
536,1732,1,6
537,1740,1,2
538,1745,1,1
539,1742,1,1
540,1749,1,2
541,1748,1,1
542,1774,1,1
543,1755,1,2
544,1756,1,1
545,1730,1,1
546,1763,1,2
547,1767,1,3
548,1768,1,1
549,1770,1,1
550,1771,1,2
551,1769,1,1
552,1775,1,1
553,1777,1,1
554,1779,1,2
555,1780,1,1
556,1778,1,1
557,1785,1,1
558,1786,1,1
559,1697,1,1
560,1792,1,1
561,1805,1,7
562,1799,1,1
563,1802,1,1
564,1804,1,1
565,1789,1,1
566,1808,1,1
567,1807,1,1
568,1809,1,1
569,1794,1,1
570,1814,1,1
571,1820,1,1
572,1822,1,1
573,1825,1,1
574,1821,1,1
575,1827,1,2
576,1836,1,5
577,1833,1,1
578,1837,1,2
579,1816,1,1
580,1838,1,1
581,1810,1,1
582,1846,1,2
583,1793,1,1
584,1553,1,1
585,1959,1,31
586,1866,1,1
587,1861,1,1
588,1870,1,1
589,1874,1,1
590,1869,1,1
591,1872,1,1
592,1842,1,1
593,1824,1,1
594,1881,1,1
595,1883,1,1
596,1882,1,1
597,1887,1,1
598,1889,1,1
599,1886,1,1
600,1871,1,1
601,1895,1,4
602,1896,1,2
603,2071,1,3
604,1908,1,1
605,1910,1,1
606,1914,1,1
607,1915,1,1
608,1918,1,1
609,1852,1,1
610,1948,1,1
611,1826,1,2
612,1928,1,1
613,1930,1,1
614,1932,1,1
615,1885,1,1
616,1934,1,1
617,1935,1,7
618,1936,1,1
619,1924,1,1
620,1946,1,1
621,1962,1,1
622,1963,1,1
623,1966,1,3
624,1972,1,2
625,1978,1,11
626,1973,1,2
627,1982,1,2
628,1984,1,2
629,1987,1,1
630,1988,1,1
631,1995,1,1
632,2008,1,4
633,1999,1,1
634,2000,1,2
635,2001,1,1
636,2004,1,3
637,1992,1,2
638,2015,1,2
639,2012,1,1
640,2003,1,3
641,2019,1,1
642,1998,1,1
643,2024,1,1
644,2030,1,1
645,2031,1,3
646,2035,1,1
647,2036,1,1
648,2017,1,1
649,2042,1,2
650,2047,1,1
651,2051,1,1
652,2054,1,3
653,2056,1,5
654,2057,1,1
655,2063,1,3
656,2121,1,3
657,1909,1,3
658,2055,1,1
659,2070,1,1
660,1635,1,3
661,2064,1,1
662,2072,1,2
663,2014,1,14
664,2082,1,1
665,2078,1,1
666,1747,1,1
667,2083,1,1
668,2087,1,1
669,2088,1,2
670,2061,1,1
671,2092,1,2
672,2093,1,1
673,2101,1,1
674,2102,1,1
675,2107,1,1
676,2109,1,1
677,2200,1,52
678,2115,1,1
679,2085,1,1
680,2120,1,5
681,2122,1,3
682,2124,1,1
683,2113,1,1
684,2131,1,1
685,2118,1,1
686,2106,1,1
687,2135,1,1
688,2139,1,2
689,1965,1,1
690,2151,1,3
691,2137,1,1
692,2148,1,1
693,2058,1,1
694,2153,1,1
695,2066,1,2
696,2168,1,1
697,726,1,1
698,2157,1,1
699,2141,1,1
700,2163,1,1
701,2165,1,1
702,2166,1,1
703,2172,1,1
704,2152,1,1
705,2181,1,3
706,2182,1,1
707,2155,1,1
708,2164,1,1
709,2185,1,1
710,2169,1,1
711,2187,1,3
712,2192,1,1
713,2195,1,1
714,2198,1,1
715,2201,1,4
716,2214,1,4
717,1996,1,1
718,2208,1,1
719,2034,1,1
720,2194,1,1
721,2210,1,2
722,2213,1,1
723,2247,1,4
724,2217,1,5
725,2216,1,1
726,3196,1,321
727,2219,1,2
728,2220,1,1
729,2221,1,1
730,2226,1,1
731,2229,1,4
732,2230,1,1
733,2193,1,1
734,2242,1,1
735,2243,1,1
736,2244,1,1
737,2245,1,1
738,2248,1,4
739,2250,1,1
740,2253,1,1
741,2256,1,1
742,2258,1,1
743,2279,1,3
744,2259,1,1
745,2266,1,1
746,2273,1,2
747,2274,1,2
748,2275,1,1
749,2276,1,1
750,2280,1,1
751,2283,1,1
752,2285,1,2
753,2286,1,1
754,2190,1,1
755,2289,1,3
756,2277,1,4
757,2296,1,4
758,2293,1,1
759,2295,1,1
760,2297,1,2
761,2282,1,1
762,2299,1,4
763,2300,1,1
764,2158,1,1
765,2326,1,2
766,2309,1,3
767,2314,1,1
768,2294,1,1
769,2312,1,1
770,2305,1,1
771,2260,1,1
772,2317,1,7
773,2320,1,1
774,2321,1,3
775,2316,1,2
776,2327,1,1
777,2328,1,2
778,2329,1,1
779,2333,1,2
780,2263,1,1
781,2337,1,2
782,2339,1,2
783,2338,1,1
784,2343,1,1
785,2344,1,5
786,2345,1,1
787,2265,1,1
788,2346,1,1
789,2350,1,1
790,2351,1,1
791,2353,1,1
792,2354,1,1
793,2340,1,1
794,2357,1,3
795,2360,1,1
796,2364,1,1
797,2363,1,1
798,2252,1,1
799,2367,1,1
800,2370,1,2
801,2374,1,1
802,2376,1,2
803,2378,1,1
804,2379,1,2
805,2388,1,1
806,2382,1,1
807,2384,1,2
808,2387,1,1
809,2390,1,1
810,2392,1,1
811,2395,1,1
812,2399,1,3
813,2383,1,1
814,2372,1,1
815,2405,1,1
816,2386,1,2
817,2409,1,2
818,2413,1,2
819,2415,1,2
820,2315,1,1
821,2417,1,2
822,2228,1,1
823,2426,1,2
824,2361,1,1
825,2419,1,1
826,2431,1,1
827,2433,1,1
828,2416,1,1
829,2432,1,1
830,2436,1,1
831,2438,1,2
832,2418,1,1
833,2434,1,2
834,2446,1,1
835,2452,1,1
836,2451,1,1
837,2454,1,1
838,2456,1,2
839,2457,1,1
840,2458,1,1
841,2459,1,1
842,2460,1,1
843,2425,1,1
